name,command,clear
SELECT KNOB 143,198F,
SELECT KNOB 144,1990,
SELECT KNOB 145,1991,
SELECT KNOB 146,1992,
SELECT KNOB 147,1993,
SELECT KNOB 148,1994,
SELECT KNOB 149,1995,
SELECT KNOB 150,1996,
SELECT KNOB 151,1997,
SELECT KNOB 152,1998,
SELECT KNOB 153,1999,
SELECT KNOB 154,199A,
SELECT KNOB 155,199B,
SELECT KNOB 156,199C,
SELECT KNOB 157,199D,
SELECT KNOB 158,199E,
SELECT KNOB 159,199F,
SELECT KNOB 160,19A0,
SELECT KNOB 161,19A1,
SELECT KNOB 162,19A2,
SELECT KNOB 163,19A3,
SELECT KNOB 164,19A4,
SELECT KNOB 165,19A5,
SELECT KNOB 166,19A6,
SELECT KNOB 167,19A7,
SELECT KNOB 168,19A8,
SELECT KNOB 169,19A9,
SELECT KNOB 170,19AA,
SELECT KNOB 171,19AB,
SELECT KNOB 172,19AC,
SELECT KNOB 173,19AD,
SELECT KNOB 174,19AE,
SELECT KNOB 175,19AF,
SELECT KNOB 176,19B0,
SELECT KNOB 177,19B1,
SELECT KNOB 178,19B2,
SELECT KNOB 179,19B3,
SELECT KNOB 180,19B4,
SELECT KNOB 181,19B5,
SELECT KNOB 182,19B6,
SELECT KNOB 183,19B7,
SELECT KNOB 184,19B8,
SELECT KNOB 185,19B9,
SELECT KNOB 186,19BA,
SELECT KNOB 187,19BB,
SELECT KNOB 188,19BC,
SELECT KNOB 189,19BD,
SELECT KNOB 190,19BE,
SELECT KNOB 191,19BF,
SELECT KNOB 192,19C0,
SELECT KNOB 193,19C1,
SELECT KNOB 194,19C2,
SELECT KNOB 195,19C3,
SELECT KNOB 196,19C4,
SELECT KNOB 197,19C5,
SELECT KNOB 198,19C6,
SELECT KNOB 199,19C7,
SELECT KNOB 200,19C8,
SELECT KNOB 201,19C9,
SELECT KNOB 202,19CA,
SELECT KNOB 203,19CB,
SELECT KNOB 204,19CC,
SELECT KNOB 205,19CD,
SELECT KNOB 206,19CE,
SELECT KNOB 207,19CF,
SELECT KNOB 208,19D0,
SELECT KNOB 209,19D1,
SELECT KNOB 210,19D2,
SELECT KNOB 211,19D3,
SELECT KNOB 212,19D4,
SELECT KNOB 213,19D5,
SELECT KNOB 214,19D6,
SELECT KNOB 215,19D7,
SELECT KNOB 216,19D8,
SELECT KNOB 217,19D9,
SELECT KNOB 218,19DA,
SELECT KNOB 219,19DB,
SELECT KNOB 220,19DC,
SELECT KNOB 221,19DD,
SELECT KNOB 222,19DE,
SELECT KNOB 223,19DF,
SELECT KNOB 224,19E0,
SELECT KNOB 225,19E1,
SELECT KNOB 226,19E2,
SELECT KNOB 227,19E3,
SELECT KNOB 228,19E4,
SELECT KNOB 229,19E5,
SELECT KNOB 230,19E6,
SELECT KNOB 231,19E7,
SELECT KNOB 232,19E8,
SELECT KNOB 233,19E9,
SELECT KNOB 234,19EA,
SELECT KNOB 235,19EB,
SELECT KNOB 236,19EC,
SELECT KNOB 237,19ED,
SELECT KNOB 238,19EE,
SELECT KNOB 239,19EF,
SELECT KNOB 240,19F0,
SELECT KNOB 241,19F1,
SELECT KNOB 242,19F2,
SELECT KNOB 243,19F3,
SELECT KNOB 244,19F4,
SELECT KNOB 245,19F5,
SELECT KNOB 246,19F6,
SELECT KNOB 247,19F7,
SELECT KNOB 248,19F8,
SELECT KNOB 249,19F9,
SELECT KNOB 250,19FA,
SELECT KNOB 251,19FB,
SELECT KNOB 252,19FC,
SELECT KNOB 253,19FD,
SELECT KNOB 254,19FE,
SELECT KNOB 255,19FF,
RATE KNOB CLICK,17CC,17EC
RATE KNOB 0,1800,
RATE KNOB 1,1801,
RATE KNOB 2,1802,
RATE KNOB 3,1803,
RATE KNOB 4,1804,
RATE KNOB 5,1805,
RATE KNOB 6,1806,
RATE KNOB 7,1807,
RATE KNOB 8,1808,
RATE KNOB 9,1809,
RATE KNOB 10,180A,
RATE KNOB 11,180B,
RATE KNOB 12,180C,
RATE KNOB 13,180D,
RATE KNOB 14,180E,
RATE KNOB 15,180F,
RATE KNOB 16,1810,
RATE KNOB 17,1811,
RATE KNOB 18,1812,
RATE KNOB 19,1813,
RATE KNOB 20,1814,
RATE KNOB 21,1815,
RATE KNOB 22,1816,
RATE KNOB 23,1817,
RATE KNOB 24,1818,
RATE KNOB 25,1819,
RATE KNOB 26,181A,
RATE KNOB 27,181B,
RATE KNOB 28,181C,
RATE KNOB 29,181D,
RATE KNOB 30,181E,
RATE KNOB 31,181F,
RATE KNOB 32,1820,
RATE KNOB 33,1821,
RATE KNOB 34,1822,
RATE KNOB 35,1823,
RATE KNOB 36,1824,
RATE KNOB 37,1825,
RATE KNOB 38,1826,
RATE KNOB 39,1827,
RATE KNOB 40,1828,
RATE KNOB 41,1829,
RATE KNOB 42,182A,
RATE KNOB 43,182B,
RATE KNOB 44,182C,
RATE KNOB 45,182D,
RATE KNOB 46,182E,
RATE KNOB 47,182F,
RATE KNOB 48,1830,
RATE KNOB 49,1831,
RATE KNOB 50,1832,
RATE KNOB 51,1833,
RATE KNOB 52,1834,
RATE KNOB 53,1835,
RATE KNOB 54,1836,
RATE KNOB 55,1837,
RATE KNOB 56,1838,
RATE KNOB 57,1839,
RATE KNOB 58,183A,
RATE KNOB 59,183B,
RATE KNOB 60,183C,
RATE KNOB 61,183D,
RATE KNOB 62,183E,
RATE KNOB 63,183F,
RATE KNOB 64,1840,
RATE KNOB 65,1841,
RATE KNOB 66,1842,
RATE KNOB 67,1843,
RATE KNOB 68,1844,
RATE KNOB 69,1845,
RATE KNOB 70,1846,
RATE KNOB 71,1847,
RATE KNOB 72,1848,
RATE KNOB 73,1849,
RATE KNOB 74,184A,
RATE KNOB 75,184B,
RATE KNOB 76,184C,
RATE KNOB 77,184D,
RATE KNOB 78,184E,
RATE KNOB 79,184F,
RATE KNOB 80,1850,
RATE KNOB 81,1851,
RATE KNOB 82,1852,
RATE KNOB 83,1853,
RATE KNOB 84,1854,
RATE KNOB 85,1855,
RATE KNOB 86,1856,
RATE KNOB 87,1857,
RATE KNOB 88,1858,
RATE KNOB 89,1859,
RATE KNOB 90,185A,
RATE KNOB 91,185B,
RATE KNOB 92,185C,
RATE KNOB 93,185D,
RATE KNOB 94,185E,
RATE KNOB 95,185F,
RATE KNOB 96,1860,
RATE KNOB 97,1861,
RATE KNOB 98,1862,
RATE KNOB 99,1863,
RATE KNOB 100,1864,
RATE KNOB 101,1865,
RATE KNOB 102,1866,
RATE KNOB 103,1867,
RATE KNOB 104,1868,
RATE KNOB 105,1869,
RATE KNOB 106,186A,
RATE KNOB 107,186B,
RATE KNOB 108,186C,
RATE KNOB 109,186D,
RATE KNOB 110,186E,
RATE KNOB 111,186F,
RATE KNOB 112,1870,
RATE KNOB 113,1871,
RATE KNOB 114,1872,
RATE KNOB 115,1873,
RATE KNOB 116,1874,
RATE KNOB 117,1875,
RATE KNOB 118,1876,
RATE KNOB 119,1877,
RATE KNOB 120,1878,
RATE KNOB 121,1879,
RATE KNOB 122,187A,
RATE KNOB 123,187B,
RATE KNOB 124,187C,
RATE KNOB 125,187D,
RATE KNOB 126,187E,
