name,command,clear
TRANSITION BAR 126,~47E,
TRANSITION BAR 127,~47F,
TRANSITION BAR 128,~480,
TRANSITION BAR 129,~481,
TRANSITION BAR 130,~482,
TRANSITION BAR 131,~483,
TRANSITION BAR 132,~484,
TRANSITION BAR 133,~485,
TRANSITION BAR 134,~486,
TRANSITION BAR 135,~487,
TRANSITION BAR 136,~488,
TRANSITION BAR 137,~489,
TRANSITION BAR 138,~48A,
TRANSITION BAR 139,~48B,
TRANSITION BAR 140,~48C,
TRANSITION BAR 141,~48D,
TRANSITION BAR 142,~48E,
TRANSITION BAR 143,~48F,
TRANSITION BAR 144,~490,
TRANSITION BAR 145,~491,
TRANSITION BAR 146,~492,
TRANSITION BAR 147,~493,
TRANSITION BAR 148,~494,
TRANSITION BAR 149,~495,
TRANSITION BAR 150,~496,
TRANSITION BAR 151,~497,
TRANSITION BAR 152,~498,
TRANSITION BAR 153,~499,
TRANSITION BAR 154,~49A,
TRANSITION BAR 155,~49B,
TRANSITION BAR 156,~49C,
TRANSITION BAR 157,~49D,
TRANSITION BAR 158,~49E,
TRANSITION BAR 159,~49F,
TRANSITION BAR 160,~4A0,
TRANSITION BAR 161,~4A1,
TRANSITION BAR 162,~4A2,
TRANSITION BAR 163,~4A3,
TRANSITION BAR 164,~4A4,
TRANSITION BAR 165,~4A5,
TRANSITION BAR 166,~4A6,
TRANSITION BAR 167,~4A7,
TRANSITION BAR 168,~4A8,
TRANSITION BAR 169,~4A9,
TRANSITION BAR 170,~4AA,
TRANSITION BAR 171,~4AB,
TRANSITION BAR 172,~4AC,
TRANSITION BAR 173,~4AD,
TRANSITION BAR 174,~4AE,
TRANSITION BAR 175,~4AF,
TRANSITION BAR 176,~4B0,
TRANSITION BAR 177,~4B1,
TRANSITION BAR 178,~4B2,
TRANSITION BAR 179,~4B3,
TRANSITION BAR 180,~4B4,
TRANSITION BAR 181,~4B5,
TRANSITION BAR 182,~4B6,
TRANSITION BAR 183,~4B7,
TRANSITION BAR 184,~4B8,
TRANSITION BAR 185,~4B9,
TRANSITION BAR 186,~4BA,
TRANSITION BAR 187,~4BB,
TRANSITION BAR 188,~4BC,
TRANSITION BAR 189,~4BD,
TRANSITION BAR 190,~4BE,
TRANSITION BAR 191,~4BF,
TRANSITION BAR 192,~4C0,
TRANSITION BAR 193,~4C1,
TRANSITION BAR 194,~4C2,
TRANSITION BAR 195,~4C3,
TRANSITION BAR 196,~4C4,
TRANSITION BAR 197,~4C5,
TRANSITION BAR 198,~4C6,
TRANSITION BAR 199,~4C7,
TRANSITION BAR 200,~4C8,
TRANSITION BAR 201,~4C9,
TRANSITION BAR 202,~4CA,
TRANSITION BAR 203,~4CB,
TRANSITION BAR 204,~4CC,
TRANSITION BAR 205,~4CD,
TRANSITION BAR 206,~4CE,
TRANSITION BAR 207,~4CF,
TRANSITION BAR 208,~4D0,
TRANSITION BAR 209,~4D1,
TRANSITION BAR 210,~4D2,
TRANSITION BAR 211,~4D3,
TRANSITION BAR 212,~4D4,
TRANSITION BAR 213,~4D5,
TRANSITION BAR 214,~4D6,
TRANSITION BAR 215,~4D7,
TRANSITION BAR 216,~4D8,
TRANSITION BAR 217,~4D9,
TRANSITION BAR 218,~4DA,
TRANSITION BAR 219,~4DB,
TRANSITION BAR 220,~4DC,
TRANSITION BAR 221,~4DD,
TRANSITION BAR 222,~4DE,
TRANSITION BAR 223,~4DF,
TRANSITION BAR 224,~4E0,
TRANSITION BAR 225,~4E1,
TRANSITION BAR 226,~4E2,
TRANSITION BAR 227,~4E3,
TRANSITION BAR 228,~4E4,
TRANSITION BAR 229,~4E5,
TRANSITION BAR 230,~4E6,
TRANSITION BAR 231,~4E7,
TRANSITION BAR 232,~4E8,
TRANSITION BAR 233,~4E9,
TRANSITION BAR 234,~4EA,
TRANSITION BAR 235,~4EB,
TRANSITION BAR 236,~4EC,
TRANSITION BAR 237,~4ED,
TRANSITION BAR 238,~4EE,
TRANSITION BAR 239,~4EF,
TRANSITION BAR 240,~4F0,
TRANSITION BAR 241,~4F1,
TRANSITION BAR 242,~4F2,
TRANSITION BAR 243,~4F3,
TRANSITION BAR 244,~4F4,
TRANSITION BAR 245,~4F5,
TRANSITION BAR 246,~4F6,
TRANSITION BAR 247,~4F7,
TRANSITION BAR 248,~4F8,
TRANSITION BAR 249,~4F9,
TRANSITION BAR 250,~4FA,
TRANSITION BAR 251,~4FB,
TRANSITION BAR 252,~4FC,
TRANSITION BAR 253,~4FD,
TRANSITION BAR 254,~4FE,
TRANSITION BAR 255,~4FF,
TRANSITION SPEED KNOB 0,~800,
TRANSITION SPEED KNOB 1,~801,
TRANSITION SPEED KNOB 2,~802,
TRANSITION SPEED KNOB 3,~803,
TRANSITION SPEED KNOB 4,~804,
TRANSITION SPEED KNOB 5,~805,
TRANSITION SPEED KNOB 6,~806,
TRANSITION SPEED KNOB 7,~807,
TRANSITION SPEED KNOB 8,~808,
TRANSITION SPEED KNOB 9,~809,
TRANSITION SPEED KNOB 10,~80A,
TRANSITION SPEED KNOB 11,~80B,
TRANSITION SPEED KNOB 12,~80C,
TRANSITION SPEED KNOB 13,~80D,
TRANSITION SPEED KNOB 14,~80E,
TRANSITION SPEED KNOB 15,~80F,
TRANSITION SPEED KNOB 16,~810,
TRANSITION SPEED KNOB 17,~811,
TRANSITION SPEED KNOB 18,~812,
TRANSITION SPEED KNOB 19,~813,
TRANSITION SPEED KNOB 20,~814,
TRANSITION SPEED KNOB 21,~815,
TRANSITION SPEED KNOB 22,~816,
TRANSITION SPEED KNOB 23,~817,
TRANSITION SPEED KNOB 24,~818,
TRANSITION SPEED KNOB 25,~819,
TRANSITION SPEED KNOB 26,~81A,
TRANSITION SPEED KNOB 27,~81B,
TRANSITION SPEED KNOB 28,~81C,
TRANSITION SPEED KNOB 29,~81D,
TRANSITION SPEED KNOB 30,~81E,
TRANSITION SPEED KNOB 31,~81F,
TRANSITION SPEED KNOB 32,~820,
TRANSITION SPEED KNOB 33,~821,
TRANSITION SPEED KNOB 34,~822,
TRANSITION SPEED KNOB 35,~823,
TRANSITION SPEED KNOB 36,~824,
TRANSITION SPEED KNOB 37,~825,
TRANSITION SPEED KNOB 38,~826,
TRANSITION SPEED KNOB 39,~827,
TRANSITION SPEED KNOB 40,~828,
TRANSITION SPEED KNOB 41,~829,
TRANSITION SPEED KNOB 42,~82A,
TRANSITION SPEED KNOB 43,~82B,
TRANSITION SPEED KNOB 44,~82C,
TRANSITION SPEED KNOB 45,~82D,
TRANSITION SPEED KNOB 46,~82E,
TRANSITION SPEED KNOB 47,~82F,
TRANSITION SPEED KNOB 48,~830,
TRANSITION SPEED KNOB 49,~831,
TRANSITION SPEED KNOB 50,~832,
TRANSITION SPEED KNOB 51,~833,
TRANSITION SPEED KNOB 52,~834,
TRANSITION SPEED KNOB 53,~835,
TRANSITION SPEED KNOB 54,~836,
TRANSITION SPEED KNOB 55,~837,
TRANSITION SPEED KNOB 56,~838,
TRANSITION SPEED KNOB 57,~839,
TRANSITION SPEED KNOB 58,~83A,
TRANSITION SPEED KNOB 59,~83B,
TRANSITION SPEED KNOB 60,~83C,
TRANSITION SPEED KNOB 61,~83D,
TRANSITION SPEED KNOB 62,~83E,
TRANSITION SPEED KNOB 63,~83F,
TRANSITION SPEED KNOB 64,~840,
TRANSITION SPEED KNOB 65,~841,
TRANSITION SPEED KNOB 66,~842,
TRANSITION SPEED KNOB 67,~843,
TRANSITION SPEED KNOB 68,~844,
TRANSITION SPEED KNOB 69,~845,
TRANSITION SPEED KNOB 70,~846,
TRANSITION SPEED KNOB 71,~847,
